신호시각,종목,진입가,MFE%,MAE%,종료가,실현수익%,5%달성,국면,진입체결강도,청산사유
2026-05-25 13:52:52,ERA,195,12.82,0.00,220,8.30,O,WEAK,330.1,tp3
2026-05-25 13:43:50,HIVE,99.2,0.10,-5.24,94,-5.00,X,WEAK,155.0,stop
2026-05-25 13:52:52,IN,114,13.16,-0.88,129,8.30,O,WEAK,336.7,tp3
2026-05-25 13:47:50,PLUME,23.1,1.73,-1.73,22.8,-1.30,X,WEAK,593.4,time
2026-05-25 13:52:52,VIRTUAL,1123,0.62,-0.45,1128,0.45,X,WEAK,262.0,time
2026-05-25 13:53:51,BIO,52.5,1.71,-2.29,51.5,-1.90,X,WEAK,553.9,time
2026-05-25 13:53:51,NEAR,3543,1.58,-0.59,3583,1.13,X,WEAK,300.6,time
2026-05-25 13:53:51,DRIFT,68.8,0.87,-3.05,67.7,-1.60,X,WEAK,167.5,time
2026-05-25 14:01:52,CPOOL,50.7,1.18,-4.14,48.9,-3.55,X,WEAK,159.0,time
2026-05-25 14:05:52,PROS,974,0.31,-3.70,968,-0.62,X,WEAK,165.8,time
2026-05-25 14:07:53,ONDO,662,0.30,-1.51,655,-1.06,X,WEAK,3290.6,time
2026-05-25 14:07:53,CHZ,56,0.18,-1.61,55.3,-1.25,X,WEAK,1645.3,time
2026-05-25 14:22:52,CHIP,75.3,0.00,-2.79,73.6,-2.26,X,WEAK,552.6,time
2026-05-25 14:39:54,SUI,1553,0.90,-0.58,1553,0.00,X,WEAK,862.6,time
2026-05-25 14:48:53,SAHARA,52.7,2.66,-1.14,52.3,-0.76,X,WEAK,757.2,time
2026-05-25 17:31:56,ERA,242,1.24,-5.37,229,-5.00,X,WEAK,1634.7,stop
2026-05-25 15:02:53,SOON,269,1.49,-4.09,270,0.37,X,WEAK,804.2,time
2026-05-25 15:03:54,CELO,121,2.48,0.00,123,1.65,X,WEAK,1148.4,time
2026-05-25 15:25:16,SOMI,257,4.67,-1.17,254,-1.17,X,WEAK,2336.9,time
2026-05-25 15:27:34,TRUST,109,0.92,-2.75,108,-0.92,X,WEAK,1923.5,time
2026-05-25 15:28:34,OPEN,287,1.05,-2.44,281,-2.09,X,WEAK,274.8,time
2026-05-25 15:40:13,STORJ,156,1.92,0.00,157,0.64,X,WEAK,803.0,time
2026-05-25 15:51:55,AKT,1331,3.61,0.00,1371,3.01,X,WEAK,178.0,time
2026-05-25 15:55:54,KITE,305,1.31,-0.98,303,-0.66,X,WEAK,2539.3,time
2026-05-25 15:57:55,SUPER,186,0.00,-2.15,182,-2.15,X,WEAK,262.0,time
2026-05-25 15:57:55,AWE,74.5,10.47,0.00,80.3,7.46,O,WEAK,1004.8,time
2026-05-25 16:01:55,CFG,456,1.54,-1.97,448,-1.75,X,WEAK,4987.4,time
2026-05-25 16:02:55,XLM,225,2.22,0.00,227,0.89,X,WEAK,1103.3,time
2026-05-25 16:04:57,ATOM,3265,0.00,-2.60,3188,-2.36,X,WEAK,202.1,time
2026-05-25 16:19:55,SHIB,0.00838,0.48,-0.24,0.00841,0.36,X,WEAK,1149.2,time
2026-05-25 16:36:56,RED,209,3.35,-1.44,209,0.00,X,WEAK,550.3,time
2026-05-25 19:20:57,IN,124,12.90,-0.81,140,8.30,O,WEAK,188.1,tp3
2026-05-25 17:08:56,INJ,7885,4.19,-1.20,8215,4.19,X,WEAK,4082.2,time
2026-05-25 17:38:56,LA,180,6.67,-1.67,178,-1.11,O,WEAK,890.2,time
2026-05-25 18:01:56,IRYS,48.6,0.62,-1.65,48,-1.23,X,WEAK,259.5,time
2026-05-25 18:10:55,WLD,455,0.44,-1.98,448,-1.54,X,WEAK,4802.4,time
2026-05-25 18:16:55,API3,496,4.44,-0.40,496,0.00,X,WEAK,184.1,time
2026-05-25 18:18:55,ORCA,2178,1.70,-0.78,2213,1.61,X,WEAK,1263.8,time
2026-05-25 18:20:56,ONDO,652,0.31,-1.99,649,-0.46,X,WEAK,160.6,time
2026-05-25 18:28:56,BERA,582,0.34,-1.89,571,-1.89,X,WEAK,1633.3,time
2026-05-25 18:29:56,DRIFT,68.4,3.80,-1.46,67.9,-0.73,X,WEAK,708.8,time
2026-05-25 18:33:56,VIRTUAL,1144,2.27,-0.35,1144,0.00,X,WEAK,1297.2,time
2026-05-25 18:45:56,NEAR,3605,6.80,-0.08,3849,5.88,O,WEAK,898.9,time
2026-05-25 18:52:56,ONT,86.8,0.00,-2.07,85.2,-1.84,X,WEAK,4946.6,time
2026-05-25 19:47:57,VVV,28650,0.28,-5.03,27210,-5.00,X,WEAK,447.0,stop
2026-05-25 18:59:56,SAHARA,52.9,3.02,-1.13,52.7,-0.38,X,WEAK,917.9,time
2026-05-25 19:01:57,CPOOL,50.2,0.40,-4.18,48.6,-3.19,X,WEAK,154.8,time
2026-05-25 19:14:57,RENDER,3042,6.71,-0.53,3241,5.77,O,WEAK,1669.3,time_tp1
2026-05-25 19:17:57,XPL,124,0.81,-1.61,125,0.81,X,WEAK,2866.5,time
2026-05-25 19:18:57,ERA,228,1.32,-4.82,218,-4.39,X,WEAK,319.8,time
2026-05-25 19:24:57,SOON,279,1.08,-4.66,267,-4.30,X,WEAK,165.3,time
2026-05-25 20:06:55,AKT,1358,0.88,-3.98,1307,-3.76,X,WEAK,230.6,time
2026-05-25 20:13:55,ESP,106,0.94,-2.83,105,-0.94,X,WEAK,694.9,time
2026-05-25 20:16:55,AWE,82.8,1.09,-1.81,82.3,-0.60,X,WEAK,256.0,time
2026-05-25 20:17:58,TRUST,109,3.67,0.00,110,0.92,X,WEAK,852.7,time
2026-05-25 20:24:56,SUI,1560,1.09,-0.51,1564,0.26,X,WEAK,5151.5,time
2026-05-26 00:01:42,KAITO,820,0.49,-5.12,779,-5.00,X,WEAK,7081.6,stop
2026-05-25 20:31:48,SUPER,184,2.72,-1.09,187,1.63,X,WEAK,9999.0,time
2026-05-25 20:31:48,HIVE,93,0.43,-1.08,92.8,-0.22,X,WEAK,9999.0,time
2026-05-25 20:31:48,CHIP,73.3,0.14,-4.23,70.3,-4.09,X,WEAK,3.2,time
2026-05-25 20:31:48,PLUME,22.8,0.88,-3.07,22.1,-3.07,X,WEAK,0.0,time
2026-05-25 20:31:48,XAUT,6797000,0.00,-0.41,6779000,-0.26,X,WEAK,0.0,time
2026-05-25 22:46:16,ONDO,649,1.85,-0.92,651,0.31,X,WEAK,9.4,time
2026-05-25 23:45:43,IN,139,2.16,-5.04,132.04999999999998,-5.00,X,WEAK,211.5,stop
2026-05-25 23:04:22,CPOOL,48.6,1.85,-0.62,49.3,1.44,X,WEAK,0.0,time
2026-05-25 23:34:43,SOON,265,1.13,-1.51,263,-0.75,X,WEAK,61.0,time
2026-05-25 23:40:42,NEAR,3954,5.97,-1.09,4023,3.37,O,WEAK,62.5,time_tp1
2026-05-25 23:43:43,RENDER,3227,4.99,-0.22,3269,1.30,X,WEAK,201.3,time
2026-05-26 00:01:42,XPL,126,5.56,-0.79,130,4.09,O,WEAK,9999.0,time_tp1
2026-05-26 00:25:43,LPT,3449,1.88,-1.19,3504,1.59,X,WEAK,71968.3,time
2026-05-26 00:27:43,SAHARA,53.1,0.75,-1.51,52.9,-0.38,X,WEAK,44.3,time
2026-05-26 00:42:43,SUI,1564,1.02,-0.26,1562,-0.13,X,WEAK,212.8,time
2026-05-26 01:00:44,AZTEC,36.1,2.77,-1.11,36.6,1.39,X,WEAK,20.3,time
2026-05-26 01:41:46,ARB,163,1.23,-0.61,163,0.00,X,WEAK,9999.0,time
2026-05-26 01:45:46,POL,139,0.72,-0.72,138,-0.72,X,WEAK,9999.0,time
2026-05-26 01:48:46,VIRTUAL,1183,0.25,-2.62,1155,-2.37,X,WEAK,5626.0,time
2026-05-26 02:29:48,WLD,461,9.54,-0.65,493,5.97,O,WEAK,5587.0,time_tp1
2026-05-26 02:49:49,ONDO,651,1.38,-1.08,655,0.61,X,WEAK,0.0,time
2026-05-26 06:30:56,ERA,236,0.42,-5.08,224.2,-5.00,X,WEAK,135.5,stop
2026-05-26 03:49:51,IN,137,3.65,-1.46,138,0.73,X,WEAK,11352.3,time
2026-05-26 03:50:50,NEAR,4049,2.64,-0.49,4112,1.56,X,WEAK,2.7,time
2026-05-26 04:17:52,XPL,130,0.77,-2.31,127,-2.31,X,WEAK,0.0,time
2026-05-26 06:51:57,ONDO,656,0.30,-5.34,623.1999999999999,-5.00,X,WEAK,18.8,stop
2026-05-26 05:49:54,AKT,1377,2.32,-1.38,1372,-0.36,X,WEAK,44.1,time
2026-05-26 08:26:00,IN,136,8.09,-7.35,136,2.50,O,WEAK,0.0,breakeven
2026-05-26 09:38:03,SOON,268,1.12,-5.60,254.6,-5.00,X,WEAK,1664.2,stop
2026-05-26 06:50:57,WLD,495,1.41,-2.63,485,-2.02,X,WEAK,12.4,time
2026-05-26 09:21:02,DRIFT,69.3,6.78,-2.60,69.3,2.50,O,WEAK,203.3,breakeven
2026-05-26 07:28:58,MEGA,111,0.00,-4.50,107,-3.60,X,WEAK,9999.0,time
2026-05-26 08:01:59,ERA,223,11.21,-1.35,223,5.50,O,WEAK,0.0,breakeven
2026-05-26 07:52:59,NEAR,4111,1.44,-3.62,4078,-0.80,X,WEAK,41.8,time
2026-05-26 08:10:00,VIRTUAL,1156,0.26,-3.29,1119,-3.20,X,WEAK,0.0,time
2026-05-26 10:46:05,EDGE,155,0.00,-5.16,147.25,-5.00,X,WEAK,7508.0,stop
2026-05-26 09:01:02,SAHARA,52,1.73,-3.27,51.2,-1.54,X,WEAK,227.8,time
2026-05-26 10:06:03,ONDO,617,1.94,-1.46,626,1.46,X,WEAK,114.9,time
2026-05-26 10:57:05,WLD,489,7.36,-0.82,510,4.65,O,WEAK,9999.0,time_tp1
2026-05-26 12:46:08,EDGE,148,1.35,-5.41,140.6,-5.00,X,WEAK,6.4,stop
2026-05-26 11:20:06,DRIFT,69.7,4.88,-0.86,70.4,1.00,X,WEAK,641.8,time
2026-05-26 14:05:12,MMT,224,0.45,-5.36,212.79999999999998,-5.00,X,WEAK,35.1,stop
2026-05-26 11:55:07,NEAR,4073,1.99,-1.55,4085,0.29,X,WEAK,96.8,time
2026-05-26 14:05:12,DKA,8.33,0.00,-5.40,7.9135,-5.00,X,WEAK,0.0,stop
2026-05-26 12:17:08,SOON,251,5.58,-0.40,251,2.50,O,WEAK,91.9,breakeven
2026-05-26 13:03:09,TRUST,109,4.59,-0.92,109,0.00,X,WEAK,0.0,time
2026-05-26 13:35:10,IN,143,2.10,-4.90,140,-2.10,X,WEAK,911.8,time
2026-05-26 14:07:12,ONDO,623,1.28,-0.80,621,-0.32,X,WEAK,40.1,time
2026-05-26 14:16:12,VIRTUAL,1147,5.41,-0.70,1207,5.12,O,WEAK,701594.7,time_tp1
2026-05-26 14:30:13,RENDER,3424,3.97,-1.96,3492,1.99,X,WEAK,6390.5,time
2026-05-26 14:57:14,WLD,510,10.78,-1.37,563,7.58,O,WEAK,27.8,time_tp2
2026-05-26 15:17:14,CHZ,53,0.75,-1.70,53.3,0.57,X,WEAK,5949.9,time
2026-05-26 15:37:16,SUI,1540,1.17,-1.36,1557,1.10,X,WEAK,1209542.6,time
2026-05-26 15:46:16,KITE,303,3.96,-2.31,314,3.63,X,WEAK,1013.3,time
2026-05-26 20:30:24,NEAR,4353,1.06,-5.24,4135.349999999999,-5.00,X,WEAK,391.8,stop
2026-05-26 18:20:19,DRIFT,74.9,2.67,-6.41,71.155,-5.00,X,WEAK,12.3,stop
2026-05-26 20:35:24,IN,152,2.63,-5.26,144.4,-5.00,X,WEAK,71.9,stop
2026-05-26 18:18:20,VIRTUAL,1213,3.54,-1.65,1213,0.00,X,WEAK,572.6,time
2026-05-26 19:10:21,WLD,563,8.70,-0.36,563,2.50,O,WEAK,54.7,breakeven
2026-05-26 19:18:21,RENDER,3510,2.17,-2.02,3572,1.77,X,WEAK,9999.0,time
2026-05-26 19:21:21,AAVE,129800,1.08,-1.00,130200,0.31,X,WEAK,5631.0,time
2026-05-26 19:51:22,OP,199,0.00,-2.51,197,-1.01,X,WEAK,7841.1,time
2026-05-26 22:15:27,IN,144,2.08,-6.25,136.79999999999998,-5.00,X,WEAK,5.2,stop
2026-05-27 00:39:32,AZTEC,40.9,1.96,-5.13,38.855,-5.00,X,WEAK,185.8,stop
2026-05-26 21:55:26,NEAR,4148,3.66,-3.13,4085,-1.52,X,WEAK,3445.3,time
2026-05-26 22:19:27,VIRTUAL,1212,4.62,-0.83,1224,0.99,X,WEAK,249.7,time
2026-05-26 23:22:29,ENA,153,1.31,-5.23,145.35,-5.00,X,WEAK,9999.0,stop
2026-05-26 23:28:29,SAND,108,0.93,-3.70,105,-2.78,X,WEAK,9999.0,time
2026-05-26 23:41:29,ATH,9.78,1.84,-0.61,9.8,0.20,X,WEAK,3.5,time
2026-05-27 00:15:29,WLD,590,2.54,-5.25,560.5,-5.00,X,WEAK,716.9,stop
2026-05-27 02:15:36,AZTEC,40.5,0.49,-5.19,38.475,-5.00,X,WEAK,12.7,stop
2026-05-27 00:01:29,TT,1.3,0.00,-3.08,1.26,-3.08,X,WEAK,1804.6,time
2026-05-27 00:01:29,ONDO,613,3.92,-1.79,608,-0.82,X,WEAK,294.1,time
2026-05-27 00:01:29,CHZ,54.2,0.37,-4.80,52.3,-3.51,X,WEAK,380303.5,time
2026-05-27 00:03:29,QTUM,1332,0.68,-1.80,1310,-1.65,X,WEAK,258.2,time
2026-05-27 00:05:29,SUI,1529,0.39,-2.42,1504,-1.64,X,WEAK,281.5,time
2026-05-27 00:33:32,FF,141,4.96,-2.84,138,-2.13,X,WEAK,20.1,time
2026-05-27 00:40:32,SAHARA,52.3,0.19,-2.68,51,-2.49,X,WEAK,10179.2,time
2026-05-27 00:46:32,PUMP,2.72,1.84,-3.31,2.7,-0.74,X,WEAK,325.9,time
2026-05-27 01:29:34,BLEND,139,0.00,-1.44,138,-0.72,X,WEAK,554.8,time
2026-05-27 02:05:35,IP,725,0.97,-2.07,716,-1.24,X,WEAK,14773.7,time
2026-05-27 04:41:40,SAHARA,51,0.59,-5.29,48.449999999999996,-5.00,X,WEAK,0.0,stop
2026-05-27 04:02:39,ONDO,609,0.99,-1.31,608,-0.16,X,WEAK,0.2,time
2026-05-27 04:12:39,XPL,129,3.10,0.00,132,2.33,X,WEAK,10414.1,time
2026-05-27 04:20:39,AZTEC,38.3,3.66,-0.26,39.4,2.87,X,WEAK,23.4,time
2026-05-27 04:35:40,WLD,562,2.67,-0.89,563,0.18,X,WEAK,6.9,time
2026-05-27 05:30:42,SEI,98.3,0.92,-1.42,98.9,0.61,X,WEAK,9999.0,time
2026-05-27 05:34:42,LA,167,0.60,-0.60,167,0.00,X,WEAK,0.0,time
2026-05-27 05:56:43,SHIB,0.00821,0.37,-0.37,0.00822,0.12,X,WEAK,38157.8,time
2026-05-27 07:02:46,PENGU,12.7,0.00,-1.57,12.6,-0.79,X,WEAK,9999.0,time
2026-05-27 07:38:46,CHZ,53.3,2.06,-1.69,52.4,-1.69,X,WEAK,3845.6,time
2026-05-27 08:57:50,WLD,556,0.90,-5.04,528.1999999999999,-5.00,X,WEAK,16.3,stop
2026-05-27 08:04:48,ONDO,609,0.16,-2.30,607,-0.33,X,WEAK,9999.0,time
2026-05-27 08:05:47,ZRO,1908,0.58,-2.52,1868,-2.10,X,WEAK,151.5,time
2026-05-27 08:12:48,XPL,132,0.76,-3.03,129,-2.27,X,WEAK,0.0,time
2026-05-27 09:20:50,ORCA,2031,0.64,-5.02,1929.4499999999998,-5.00,X,WEAK,457.7,stop
2026-05-27 08:56:49,NEAR,3773,2.15,-3.45,3677,-2.54,X,WEAK,28.6,time
2026-05-27 09:26:51,DRIFT,73,5.34,-2.47,73,2.50,O,WEAK,871.2,breakeven
2026-05-27 10:05:56,CHIP,64.4,2.33,-2.64,63.4,-1.55,X,WEAK,0.7,time
2026-05-27 10:15:52,B3,1.22,0.82,-0.82,1.23,0.82,X,WEAK,9999.0,time
2026-05-27 10:39:53,SAHARA,46.8,5.56,-1.50,47.9,3.68,O,WEAK,403.2,time_tp1
2026-05-27 11:01:54,DKA,7.96,1.38,-1.63,8.03,0.88,X,WEAK,27.5,time
2026-05-27 11:59:55,WLD,532,5.64,-2.26,544,3.63,O,WEAK,241.8,time_tp1
2026-05-27 12:00:56,PENGU,12.6,0.00,-3.17,12.5,-0.79,X,WEAK,6698.5,time
2026-05-27 14:46:00,TRAC,638,2.66,-5.02,606.1,-5.00,X,WEAK,317.1,stop
2026-05-27 13:06:57,KAITO,741,0.00,-1.35,738,-0.40,X,WEAK,0.0,time
2026-05-27 13:21:58,NEAR,3664,3.90,-0.08,3793,3.52,X,WEAK,28.7,time
2026-05-27 14:34:00,SEI,102,5.88,0.00,107,4.90,O,WEAK,15478.4,time
2026-05-27 19:00:08,ALT,13.1,0.76,-5.34,12.444999999999999,-5.00,X,WEAK,0.6,stop
2026-05-27 15:21:01,SUI,1481,0.54,-1.15,1473,-0.54,X,WEAK,0.0,time
2026-05-27 15:22:01,APT,1434,1.53,-0.84,1429,-0.35,X,WEAK,0.0,time
2026-05-27 16:02:02,PENGU,12.5,0.80,-0.80,12.4,-0.80,X,WEAK,9999.0,time
2026-05-27 18:52:08,IN,139,0.00,-5.76,132.04999999999998,-5.00,X,WEAK,0.0,stop
2026-05-27 16:27:03,WLD,529,2.84,-2.65,533,0.76,X,WEAK,17.6,time
2026-05-27 16:33:03,SAHARA,49.4,0.20,-4.05,48.6,-1.62,X,WEAK,720.4,time
2026-05-27 17:35:05,NEAR,3752,1.25,-3.36,3725,-0.72,X,WEAK,0.0,time
2026-05-27 22:05:15,TRAC,651,0.00,-5.22,618.4499999999999,-5.00,X,WEAK,52.9,stop
2026-05-27 21:45:13,ALT,12.3,0.81,-5.69,11.685,-5.00,X,WEAK,187.4,stop
2026-05-27 18:34:07,SEI,107,0.93,-5.61,101.64999999999999,-5.00,X,WEAK,63.2,stop
2026-05-27 18:42:07,INJ,8370,2.99,-1.61,8255,-1.37,X,WEAK,0.5,time
2026-05-27 22:02:15,VIRTUAL,1220,0.25,-5.00,1159,-5.00,X,WEAK,4457.6,stop
2026-05-27 20:34:10,ATH,10.1,1.98,-5.05,9.594999999999999,-5.00,X,WEAK,0.0,stop
2026-05-27 21:10:12,WLD,535,2.24,-1.31,538,0.56,X,WEAK,2824.8,time
2026-05-27 21:19:12,ONDO,592,1.52,-2.20,587,-0.84,X,WEAK,4665.3,time
2026-05-28 00:06:17,XPL,131,5.34,0.00,131,2.50,O,WEAK,9999.0,breakeven
2026-05-27 21:50:13,ONG,99.9,1.10,-3.50,97,-2.90,X,WEAK,1648.0,time
2026-05-27 21:52:14,NEAR,3741,3.23,-1.50,3765,0.64,X,WEAK,324.7,time
2026-05-27 23:15:16,PROS,974,2.36,-1.64,977,0.31,X,WEAK,169.8,time
2026-05-27 23:20:17,TRAC,619,1.45,-1.29,619,0.00,X,WEAK,12.3,time
2026-05-28 01:19:22,WLD,530,0.00,-5.09,503.5,-5.00,X,WEAK,32.3,stop
2026-05-27 23:47:17,WIF,282,2.13,-1.06,279,-1.06,X,WEAK,614224.0,time
2026-05-28 00:01:17,SOON,272,0.37,-1.47,271,-0.37,X,WEAK,9999.0,time
2026-05-28 00:01:17,VIRTUAL,1150,2.17,-1.83,1144,-0.52,X,WEAK,650.3,time
2026-05-28 00:01:17,DRIFT,66.2,0.15,-1.96,65.8,-0.60,X,WEAK,9999.0,time
2026-05-28 00:02:17,PEPE,0.0052,1.92,-0.77,0.00521,0.19,X,WEAK,1045598.5,time
2026-05-28 00:02:17,MEGA,101,0.99,-1.98,101,0.00,X,WEAK,9999.0,time
2026-05-28 00:03:17,LINK,13820,0.87,-1.45,13710,-0.80,X,WEAK,9999.0,time
2026-05-28 00:07:17,IN,137,3.65,-0.73,137,0.00,X,WEAK,9999.0,time
2026-05-28 00:10:17,ALT,11.8,1.69,-3.39,11.6,-1.69,X,WEAK,429.0,time
2026-05-28 00:11:18,PENGU,12.4,1.61,-1.61,12.4,0.00,X,WEAK,9999.0,time
2026-05-28 00:12:18,SAND,104,1.92,-0.96,104,0.00,X,WEAK,493180.6,time
2026-05-28 00:12:18,SIGN,18.4,1.63,0.00,18.6,1.09,X,WEAK,2386.2,time
2026-05-28 00:13:18,ENA,144,1.39,-3.47,141,-2.08,X,WEAK,9999.0,time
2026-05-28 00:23:20,SEI,104,0.00,-3.85,102,-1.92,X,WEAK,1606.6,time
2026-05-28 01:33:23,ONDO,586,0.68,-1.19,586,0.00,X,WEAK,9999.0,time
2026-05-28 01:57:23,XPL,133,0.00,-4.51,132,-0.75,X,WEAK,0.0,time
2026-05-28 02:04:24,NEAR,3787,6.42,-2.03,3841,3.21,O,WEAK,9999.0,time_tp1
2026-05-28 02:22:25,SUI,1453,0.21,-1.51,1450,-0.21,X,WEAK,3635766.0,time
2026-05-28 03:40:26,PROS,978,1.74,-2.35,964,-1.43,X,WEAK,0.0,time
2026-05-28 05:01:07,FF,155,1.29,-3.87,151,-2.58,X,WEAK,0.0,time
2026-05-28 06:01:11,IN,137,5.11,-2.92,144,5.05,O,WEAK,0.0,time_tp1
2026-05-28 06:35:11,NEAR,3763,1.49,-5.16,3577,-4.94,X,WEAK,0.0,time
2026-05-28 06:35:11,NEAR,3763,1.49,-5.16,3572,-5.08,X,WEAK,0.0,time
2026-05-28 06:44:12,TRAC,636,7.23,-2.52,668,5.02,O,WEAK,0.0,time_tp1
2026-05-28 07:32:17,DRIFT,65.2,5.52,-4.29,65.2,2.50,O,WEAK,0.0,breakeven
2026-05-28 07:32:17,DRIFT,65.2,5.52,-4.29,65.2,2.50,O,WEAK,0.0,breakeven
2026-05-28 10:58:42,CPOOL,47.2,4.66,-1.91,46.3,-1.91,X,WEAK,0.0,time
